position	mean_phred_score	sample	read_pair	stage
32	31.484427448321377	6A	2	cleaned
37	30.89949905413814	6A	2	cleaned
42	31.489087360694203	6A	2	cleaned
47	32.39899644738076	6A	2	cleaned
52	32.503674982267796	6A	2	cleaned
57	32.31738140528708	6A	2	cleaned
62	33.11530189875496	6A	2	cleaned
67	32.29839588111385	6A	2	cleaned
72	33.28848715537592	6A	2	cleaned
77	32.6753218634436	6A	2	cleaned
82	33.36127102217189	6A	2	cleaned
87	33.811487567159745	6A	2	cleaned
92	31.7191417610438	6A	2	cleaned
97	32.06975855365107	6A	2	cleaned
102	33.86895896623112	6A	2	cleaned
107	32.9358841778864	6A	2	cleaned
112	31.319175951362247	6A	2	cleaned
117	29.553178230020386	6A	2	cleaned
122	29.06563875394476	6A	2	cleaned
127	30.134584203822346	6A	2	cleaned
132	29.00446536111152	6A	2	cleaned
137	29.28018016282433	6A	2	cleaned
142	28.056181854860267	6A	2	cleaned
147	27.77161146931889	6A	2	cleaned
150	27.48214223207025	6A	2	cleaned
1	37.07866813020168	6C	1	cleaned
2	41.0507046589828	6C	1	cleaned
3	41.65821726280081	6C	1	cleaned
4	41.963275443081976	6C	1	cleaned
5	33.51469402914471	6C	1	cleaned
6	30.398064589902017	6C	1	cleaned
7	30.20011829585899	6C	1	cleaned
8	29.900686497142544	6C	1	cleaned
9	37.507523426051364	6C	1	cleaned
12	38.114626600051324	6C	1	cleaned
17	34.0820019363163	6C	1	cleaned
22	33.37210805314957	6C	1	cleaned
27	33.87584786470453	6C	1	cleaned
32	32.45972139139887	6C	1	cleaned
37	23.62241312934301	6C	1	cleaned
42	27.957313746702454	6C	1	cleaned
47	34.15748993913946	6C	1	cleaned
52	34.33351325154896	6C	1	cleaned
57	27.98249554924007	6C	1	cleaned
62	31.539735494883722	6C	1	cleaned
67	30.31946398420369	6C	1	cleaned
72	33.25299958962801	6C	1	cleaned
77	30.69935826359109	6C	1	cleaned
82	35.93445251315662	6C	1	cleaned
87	27.52472759134627	6C	1	cleaned
92	25.08994888773544	6C	1	cleaned
97	27.93467891452523	6C	1	cleaned
102	32.650128286974756	6C	1	cleaned
107	34.69554494351143	6C	1	cleaned
112	30.190167093570995	6C	1	cleaned
117	27.656389612711074	6C	1	cleaned
122	27.598004398060556	6C	1	cleaned
127	26.67993421669368	6C	1	cleaned
132	24.8216276359952	6C	1	cleaned
137	25.77650044076081	6C	1	cleaned
142	27.906198604768917	6C	1	cleaned
147	27.047715919603707	6C	1	cleaned
150	29.796764361463723	6C	1	cleaned
1	35.67139765400299	6C	2	cleaned
2	33.695887074872836	6C	2	cleaned
3	33.73918120389065	6C	2	cleaned
4	33.89558391621005	6C	2	cleaned
5	33.327357902601264	6C	2	cleaned
6	33.02045937544597	6C	2	cleaned
7	29.589074898703217	6C	2	cleaned
8	28.7716934390267	6C	2	cleaned
9	36.16554924649349	6C	2	cleaned
12	32.57538093467342	6C	2	cleaned
17	29.009605344125067	6C	2	cleaned
22	30.66663401151153	6C	2	cleaned
