position	pc_adapters	sample	adapter	read_pair	stage
1	0.001556355121622424	SRR8663602	polya	1	dedup
2	0.004066416577171371	SRR8663602	polya	1	dedup
3	0.004985017156474833	SRR8663602	polya	1	dedup
4	0.0059153196539859804	SRR8663602	polya	1	dedup
5	0.0068690259879125035	SRR8663602	polya	1	dedup
6	0.008185491786277336	SRR8663602	polya	1	dedup
7	0.009262068261384577	SRR8663602	polya	1	dedup
8	0.010578534059749409	SRR8663602	polya	1	dedup
9	0.011742874921414306	SRR8663602	polya	1	dedup
10	0.01383751828059035	SRR8663602	polya	1	dedup
12	0.016894644412348683	SRR8663602	polya	1	dedup
14	0.020165330551397312	SRR8663602	polya	1	dedup
16	0.02355011039297089	SRR8663602	polya	1	dedup
18	0.027206959832873204	SRR8663602	polya	1	dedup
20	0.031065667361858125	SRR8663602	polya	1	dedup
22	0.035064797909335296	SRR8663602	polya	1	dedup
24	0.040412574530248435	SRR8663602	polya	1	dedup
26	0.04894327290365255	SRR8663602	polya	1	dedup
28	0.05487907091450198	SRR8663602	polya	1	dedup
30	0.06012445575109786	SRR8663602	polya	1	dedup
32	0.06554244388125713	SRR8663602	polya	1	dedup
34	0.07093995365455294	SRR8663602	polya	1	dedup
36	0.07504147598634738	SRR8663602	polya	1	dedup
38	0.07937996216184748	SRR8663602	polya	1	dedup
40	0.08352536668692073	SRR8663602	polya	1	dedup
42	0.08723487475875764	SRR8663602	polya	1	dedup
44	0.0910584765331195	SRR8663602	polya	1	dedup
46	0.0952097320172966	SRR8663602	polya	1	dedup
48	0.09946337928579096	SRR8663602	polya	1	dedup
50	0.10367606984055844	SRR8663602	polya	1	dedup
52	0.10723637845524733	SRR8663602	polya	1	dedup
54	0.11093125912932462	SRR8663602	polya	1	dedup
56	0.11436284664372895	SRR8663602	polya	1	dedup
58	0.11793485717662552	SRR8663602	polya	1	dedup
60	0.12156245182100864	SRR8663602	polya	1	dedup
62	0.12513153687435327	SRR8663602	polya	1	dedup
64	0.12871817480500947	SRR8663602	polya	1	dedup
66	0.13231066369476951	SRR8663602	polya	1	dedup
68	0.13642388794477162	SRR8663602	polya	1	dedup
70	0.14045812424687187	SRR8663602	polya	1	dedup
72	0.14404476217752804	SRR8663602	polya	1	dedup
74	0.1473066718779209	SRR8663602	polya	1	dedup
76	0.150896235288129	SRR8663602	polya	1	dedup
78	0.1545618611666871	SRR8663602	polya	1	dedup
80	0.15856391719371618	SRR8663602	polya	1	dedup
82	0.1629843167966701	SRR8663602	polya	1	dedup
84	0.16699514926235495	SRR8663602	polya	1	dedup
86	0.17042381129720735	SRR8663602	polya	1	dedup
88	0.17374423058863867	SRR8663602	polya	1	dedup
90	0.17687741918874697	SRR8663602	polya	1	dedup
92	0.1803236341009109	SRR8663602	polya	1	dedup
94	0.18342464242594808	SRR8663602	polya	1	dedup
96	0.18628868690727957	SRR8663602	polya	1	dedup
98	0.18889821466759385	SRR8663602	polya	1	dedup
100	0.19155455010073888	SRR8663602	polya	1	dedup
102	0.19413189758598204	SRR8663602	polya	1	dedup
104	0.19656297109362908	SRR8663602	polya	1	dedup
106	0.19898526816262038	SRR8663602	polya	1	dedup
108	0.20139878879295592	SRR8663602	polya	1	dedup
110	0.20394395600312792	SRR8663602	polya	1	dedup
112	0.20660029143627295	SRR8663602	polya	1	dedup
114	0.20871248767276052	SRR8663602	polya	1	dedup
116	0.21063160225882127	SRR8663602	polya	1	dedup
118	0.21238688998997438	SRR8663602	polya	1	dedup
120	0.2139315431933891	SRR8663602	polya	1	dedup
122	0.21516317008474822	SRR8663602	polya	1	dedup
124	0.21633921286462082	SRR8663602	polya	1	dedup
126	0.2172080802915416	SRR8663602	polya	1	dedup
128	0.21790434442489898	SRR8663602	polya	1	dedup
130	0.21837827211231034	SRR8663602	polya	1	dedup
132	0.21863863979243137	SRR8663602	polya	1	dedup
134	0.21873225513809288	SRR8663602	polya	1	dedup
136	0.21873225513809288	SRR8663602	polya	1	dedup
138	0.21873225513809288	SRR8663602	polya	1	dedup
1	0.0017201819765300477	SRR8663602	polya	2	dedup
2	0.003253133261737097	SRR8663602	polya	2	dedup
3	0.004200988636559776	SRR8663602	polya	2	dedup
4	0.005300968948082392	SRR8663602	polya	2	dedup
5	0.006418502136916538	SRR8663602	polya	2	dedup
6	0.007928049585708214	SRR8663602	polya	2	dedup
7	0.010116308290545757	SRR8663602	polya	2	dedup
8	0.012023720958398803	SRR8663602	polya	2	dedup
9	0.013954537462667223	SRR8663602	polya	2	dedup
10	0.01772548060509449	SRR8663602	polya	2	dedup
12	0.025021626607587583	SRR8663602	polya	2	dedup
14	0.03247282302633253	SRR8663602	polya	2	dedup
16	0.03957003641929494	SRR8663602	polya	2	dedup
18	0.046096781299632586	SRR8663602	polya	2	dedup
20	0.0543992922679868	SRR8663602	polya	2	dedup
22	0.06418502136916539	SRR8663602	polya	2	dedup
24	0.07359043812859414	SRR8663602	polya	2	dedup
26	0.09324966071750895	SRR8663602	polya	2	dedup
28	0.10353272134251426	SRR8663602	polya	2	dedup
30	0.11104535283184958	SRR8663602	polya	2	dedup
32	0.11806065279735817	SRR8663602	polya	2	dedup
34	0.12387358066702689	SRR8663602	polya	2	dedup
36	0.12853094411368648	SRR8663602	polya	2	dedup
38	0.13279044234128468	SRR8663602	polya	2	dedup
40	0.13691536850949448	SRR8663602	polya	2	dedup
42	0.1407477467225121	SRR8663602	polya	2	dedup
44	0.144682516719847	SRR8663602	polya	2	dedup
46	0.14880159192895298	SRR8663602	polya	2	dedup
48	0.15246721780751105	SRR8663602	polya	2	dedup
50	0.1560216754630961	SRR8663602	polya	2	dedup
52	0.15932161639766396	SRR8663602	polya	2	dedup
54	0.1624460285591165	SRR8663602	polya	2	dedup
56	0.16555873880236133	SRR8663602	polya	2	dedup
58	0.16841693232458899	SRR8663602	polya	2	dedup
60	0.17133656091740698	SRR8663602	polya	2	dedup
62	0.17418012704187502	SRR8663602	polya	2	dedup
64	0.17697688549351231	SRR8663602	polya	2	dedup
66	0.1797473146291823	SRR8663602	polya	2	dedup
68	0.18260843363096185	SRR8663602	polya	2	dedup
70	0.18548125455094913	SRR8663602	polya	2	dedup
72	0.18800301792470575	SRR8663602	polya	2	dedup
74	0.1906769062351623	SRR8663602	polya	2	dedup
76	0.19338882577979388	SRR8663602	polya	2	dedup
78	0.19595154586727742	SRR8663602	polya	2	dedup
80	0.1984908621183456	SRR8663602	polya	2	dedup
82	0.20083417123943498	SRR8663602	polya	2	dedup
84	0.2031131198103821	SRR8663602	polya	2	dedup
86	0.20527504919925238	SRR8663602	polya	2	dedup
88	0.20741650023125915	SRR8663602	polya	2	dedup
90	0.20935901865373527	SRR8663602	polya	2	dedup
92	0.21138052502411325	SRR8663602	polya	2	dedup
94	0.21346639194463354	SRR8663602	polya	2	dedup
96	0.21551422763097883	SRR8663602	polya	2	dedup
98	0.2174655224921107	SRR8663602	polya	2	dedup
100	0.2193904880372753	SRR8663602	polya	2	dedup
102	0.22110774453425341	SRR8663602	polya	2	dedup
104	0.22279282075616041	SRR8663602	polya	2	dedup
106	0.2245890652010404	SRR8663602	polya	2	dedup
108	0.22635898032995314	SRR8663602	polya	2	dedup
110	0.22803528011320434	SRR8663602	polya	2	dedup
112	0.22951557276647683	SRR8663602	polya	2	dedup
114	0.23087299527856853	SRR8663602	polya	2	dedup
116	0.23203733614023345	SRR8663602	polya	2	dedup
118	0.23303199918788686	SRR8663602	polya	2	dedup
