taxid	name
2560154	Jedunavirus
2560155	Jeilongvirus
2560156	Jesfedecavirus
2560157	Kabutovirus
2560158	Kairosalinivirus
2560159	Klementvirus
2560160	Kochikohdavirus
2560161	Kojivirus
2560162	Krylovvirus
2560163	Kryptosalinivirus
2560164	Kusarnavirus
2560165	Lacusarxvirus
2560166	Laulavirus
2560167	Lilyvirus
2560168	Livupivirus
2560169	Locarnavirus
2560170	Lokivirus
2560171	Magadivirus
2560172	Magoulivirus
2560173	Malagasivirus
2560174	Metaavulavirus
2560175	Metrivirus
2560176	Mimasvirus
2560177	Minovirus
2560178	Minunavirus
2560179	Mutorquevirus
2560180	Myunavirus
2560181	Myxoctovirus
2560182	Nacovirus
2560183	Nanhaivirus
2560184	Napahaivirus
2560185	Narmovirus
2560186	Nazgulvirus
2560187	Negarvirus
2560188	Nickievirus
2560189	Novosibvirus
2560190	Noxifervirus
2560191	Nutorquevirus
2560192	Nyceiraevirus
2560193	Orchidvirus
2560194	Orthoavulavirus
2560195	Orthorubulavirus
2560196	Orthotospovirus
2560197	Otagovirus
2560198	Pacuvirus
2560199	Paraavulavirus
2560200	Pararubulavirus
2560201	Peatvirus
2560202	Phimunavirus
2560203	Pikminvirus
2560204	Plaisancevirus
2560205	Poecivirus
2560206	Pollyceevirus
2560207	Polybotosvirus
2560208	Popoffvirus
2560209	Poushouvirus
2560210	Priunavirus
2560211	Rafivirus
2560212	Reptillovirus
2560213	Rigallicvirus
2560214	Rimavirus
2560215	Ripduovirus
2560216	Risingsunvirus
2560217	Salemvirus
2560218	Salisharnavirus
2560219	Salovirus
2560220	Samistivirus
2560221	Samunavirus
2560222	Sanovirus
2560223	Sasvirus
2560224	Sawastrivirus
2560225	Scapunavirus
2560226	Scleroulivirus
2560227	Sertoctavirus
2560228	Shalavirus
2560229	Shilevirus
2560230	Sogarnavirus
2560231	Sourvirus
2560232	Striavirus
2560233	Sugarlandvirus
2560234	Synodonvirus
2560235	Tabernariusvirus
2560236	Thamnovirus
2560237	Thornevirus
2560238	Tidunavirus
